fraction,ARI,Silhouette,iLISI,kBET
1.0,0.6123429955992968,0.5315208435058594,1.0,0.0
0.5,0.6017653515945708,0.6006448268890381,1.0,0.0
0.25,0.6133868663792116,0.5796777606010437,1.0,0.0
0.1,0.5544578505114287,0.5909601449966431,1.0,0.0
